date,model,tokens,input_tokens,output_tokens,source
2026-01-06,claude-opus-4-5-20251101,703182,0,0,stats_cache
2026-01-07,claude-opus-4-5-20251101,957652,0,0,stats_cache
2026-01-08,claude-opus-4-5-20251101,188101,0,0,stats_cache
2026-01-09,claude-opus-4-5-20251101,1223714,0,0,stats_cache
2026-01-10,claude-sonnet-4-5-20250929,674756,0,0,stats_cache
2026-01-10,claude-opus-4-5-20251101,1427177,0,0,stats_cache
2026-01-11,claude-opus-4-5-20251101,496122,0,0,stats_cache
2026-01-13,claude-opus-4-5-20251101,356882,0,0,stats_cache
2026-01-13,claude-sonnet-4-5-20250929,10090,0,0,stats_cache
2026-01-14,claude-opus-4-5-20251101,331062,0,0,stats_cache
2026-01-15,claude-opus-4-5-20251101,209719,0,0,stats_cache
2026-01-16,claude-opus-4-5-20251101,322457,0,0,stats_cache
2026-01-17,claude-opus-4-5-20251101,183685,0,0,stats_cache
2026-01-18,claude-opus-4-5-20251101,261,0,0,stats_cache
2026-01-19,claude-opus-4-5-20251101,79448,0,0,stats_cache
2026-01-20,claude-opus-4-5-20251101,750,0,0,stats_cache
2026-01-20,claude-sonnet-4-5-20250929,106002,0,0,stats_cache
2026-01-21,claude-opus-4-5-20251101,161606,0,0,stats_cache
2026-01-22,claude-opus-4-5-20251101,28695,0,0,stats_cache
2026-01-23,claude-opus-4-5-20251101,9978,0,0,stats_cache
2026-01-26,claude-opus-4-5-20251101,679,0,0,stats_cache
2026-01-27,claude-opus-4-5-20251101,28117,0,0,stats_cache
2026-01-28,claude-opus-4-5-20251101,81526,0,0,stats_cache
2026-01-29,claude-opus-4-5-20251101,12530,0,0,stats_cache
2026-01-30,claude-opus-4-5-20251101,46185,0,0,stats_cache
2026-01-31,claude-opus-4-5-20251101,64520,0,0,stats_cache
2026-02-01,claude-opus-4-5-20251101,44363,0,0,stats_cache
2026-02-02,claude-opus-4-5-20251101,19896,0,0,stats_cache
2026-02-03,claude-opus-4-5-20251101,225,0,0,stats_cache
2026-02-04,claude-opus-4-5-20251101,497,0,0,stats_cache
2026-02-07,claude-opus-4-6,20156,0,0,stats_cache
2026-02-08,claude-opus-4-6,86490,0,0,stats_cache
2026-02-09,claude-opus-4-6,164493,0,0,stats_cache
2026-02-10,claude-opus-4-6,141694,0,0,stats_cache
2026-02-11,claude-opus-4-6,30043,0,0,stats_cache
2026-02-12,claude-opus-4-6,25534,0,0,stats_cache
2026-02-14,claude-opus-4-6,326991,0,0,stats_cache
2026-02-17,claude-opus-4-6,189427,0,0,stats_cache
2026-02-19,claude-opus-4-6,4226,0,0,stats_cache
2026-02-20,claude-opus-4-6,140959,0,0,stats_cache
2026-03-31,claude-sonnet-4-20250514,600,400,200,costs
