date,model,tokens
2026-01-06,claude-opus-4-5-20251101,703182
2026-01-07,claude-opus-4-5-20251101,957652
2026-01-08,claude-opus-4-5-20251101,188101
2026-01-09,claude-opus-4-5-20251101,1223714
2026-01-10,claude-sonnet-4-5-20250929,674756
2026-01-10,claude-opus-4-5-20251101,1427177
2026-01-11,claude-opus-4-5-20251101,496122
2026-01-13,claude-opus-4-5-20251101,356882
2026-01-13,claude-sonnet-4-5-20250929,10090
2026-01-14,claude-opus-4-5-20251101,331062
2026-01-15,claude-opus-4-5-20251101,209719
2026-01-16,claude-opus-4-5-20251101,322457
2026-01-17,claude-opus-4-5-20251101,183685
2026-01-18,claude-opus-4-5-20251101,261
2026-01-19,claude-opus-4-5-20251101,79448
2026-01-20,claude-opus-4-5-20251101,750
2026-01-20,claude-sonnet-4-5-20250929,106002
2026-01-21,claude-opus-4-5-20251101,161606
2026-01-22,claude-opus-4-5-20251101,28695
2026-01-23,claude-opus-4-5-20251101,9978
2026-01-26,claude-opus-4-5-20251101,679
2026-01-27,claude-opus-4-5-20251101,28117
2026-01-28,claude-opus-4-5-20251101,81526
2026-01-29,claude-opus-4-5-20251101,12530
2026-01-30,claude-opus-4-5-20251101,46185
2026-01-31,claude-opus-4-5-20251101,64520
2026-02-01,claude-opus-4-5-20251101,44363
2026-02-02,claude-opus-4-5-20251101,19896
2026-02-03,claude-opus-4-5-20251101,225
2026-02-04,claude-opus-4-5-20251101,497
2026-02-07,claude-opus-4-6,20156
2026-02-08,claude-opus-4-6,86490
2026-02-09,claude-opus-4-6,164493
2026-02-10,claude-opus-4-6,141694
2026-02-11,claude-opus-4-6,30043
2026-02-12,claude-opus-4-6,25534
2026-02-14,claude-opus-4-6,326991
2026-02-17,claude-opus-4-6,189427
2026-02-19,claude-opus-4-6,4226
2026-02-20,claude-opus-4-6,140959
