from_tool,to_tool,count
Bash,Bash,5141
Edit,Edit,1067
Read,Read,1038
Write,Write,883
Edit,Bash,716
Write,Bash,632
Read,Edit,632
Bash,Read,545
Bash,Write,476
Bash,Edit,408
Bash,TodoWrite,393
TodoWrite,Bash,321
Edit,Read,258
Read,Bash,252
Agent,Agent,222
Grep,Read,181
Read,Write,174
TodoWrite,Write,167
Grep,Grep,135
Write,TodoWrite,122
TaskOutput,TaskOutput,115
WebSearch,WebSearch,104
Write,Edit,103
TodoWrite,TodoWrite,100
Edit,Grep,99
Bash,Agent,93
Edit,Write,88
Glob,Glob,87
TodoWrite,Read,86
Read,Grep,78
Write,Read,75
Bash,TaskOutput,73
Bash,Grep,72
Edit,TodoWrite,71
Agent,Bash,65
TodoWrite,Agent,56
Grep,Edit,52
TaskOutput,Bash,49
Glob,Read,48
TodoWrite,Edit,47
Agent,Read,46
Read,TodoWrite,46
Bash,ToolSearch,43
Agent,TodoWrite,41
Grep,Bash,40
WebFetch,WebFetch,35
ToolSearch,TodoWrite,32
Read,Glob,28
TodoWrite,Grep,25
Agent,Write,23
Glob,Bash,23
mcp__sequential-thinking__sequentialthinking,mcp__sequential-thinking__sequentialthinking,21
Read,Agent,18
Bash,Glob,18
AskUserQuestion,Bash,17
Bash,WebFetch,17
WebFetch,Bash,15
Read,ToolSearch,14
Monitor,Bash,11
Grep,Write,9
Write,Agent,9
Agent,ToolSearch,9
WebSearch,Write,9
Bash,AskUserQuestion,9
Bash,Monitor,9
TaskOutput,Write,8
ToolSearch,Bash,8
ToolSearch,WebSearch,8
WebFetch,Write,8
Agent,Grep,7
TaskOutput,TodoWrite,7
Edit,Agent,7
WebSearch,WebFetch,7
WebSearch,Bash,7
ToolSearch,AskUserQuestion,7
TaskOutput,Agent,6
TaskOutput,Read,6
Bash,TaskStop,6
TaskStop,Bash,6
Agent,Edit,6
Glob,Write,6
Write,WebSearch,6
Bash,mcp__exa__crawling_exa,6
Grep,TodoWrite,5
Write,Grep,5
Read,AskUserQuestion,5
TodoWrite,ToolSearch,5
Bash,WebSearch,5
WebFetch,WebSearch,5
mcp__sequential-thinking__sequentialthinking,Write,5
mcp__sequential-thinking__sequentialthinking,Bash,5
Write,ToolSearch,5
ToolSearch,ToolSearch,4
ToolSearch,TaskOutput,4
Glob,Grep,4
Edit,ToolSearch,4
AskUserQuestion,Write,4
ToolSearch,WebFetch,4
TodoWrite,mcp__sequential-thinking__sequentialthinking,4
mcp__sequential-thinking__sequentialthinking,TodoWrite,4
